BEV ID,Diesel ID,Notes
BEV001,DSL001,Light Rigid class comparison
BEV002,DSL002,Light Rigid class comparison
BEV003,DSL003,Light Rigid class comparison
BEV004,DSL004,Light Rigid class comparison
BEV005,DSL005,Medium Rigid class comparison
BEV006,DSL006,Medium Rigid class comparison
BEV007,DSL007,Medium Rigid class comparison
BEV008,DSL008,Medium Rigid class comparison
BEV009,DSL009,Articulated class comparison
BEV010,DSL010,Articulated class comparison
BEV011,DSL011,Articulated class comparison
BEV012,DSL012,Articulated class comparison
