vehicle_id,stamp_duty_price,registration_annual_price,insurance_annual_price,maintenance_perkm_price
BEV001,4200,653,4200,0.05
BEV002,4500,653,4500,0.05
BEV003,4500,653,4500,0.05
BEV004,4500,653,4500,0.05
BEV005,6000,653,6000,0.08
BEV006,9000,653,9000,0.08
BEV007,12000,653,12000,0.08
BEV008,9000,653,9000,0.08
BEV009,21000,6872,21000,0.12
BEV010,13500,6872,13500,0.12
BEV011,13500,6872,13500,0.12
BEV012,18000,6872,18000,0.12
DSL001,2400,653,2400,0.2
DSL002,2550,653,2550,0.2
DSL003,2250,653,2250,0.2
DSL004,3900,653,3900,0.2
DSL005,3900,653,3900,0.25
DSL006,7500,653,7500,0.25
DSL007,8100,653,8100,0.25
DSL008,6600,653,6600,0.25
DSL009,8100,6872,8100,0.3
DSL010,8400,6872,8400,0.3
DSL011,7500,6872,7500,0.3
DSL012,9000,6872,9000,0.3
